sbag - full ver: 0.42; Copyright (c) TZWorks LLC
	
	
"cmdline: <filelist> ... | sbag64.exe -pipe -base10 -pair_datetime -no_whitespace -csv -csv_separator |"

analyzing hive: f:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\registry\usrclass\232681.Donald.UsrClass.dat
regdate [UTC]|mru|modify date [UTC]|access date [UTC]|create date [UTC]|type|bag|file size|inode|seq#|full path|source subkey/value name|extra metadata|bag registry dates related to this entry
10/23/2013 03:09:17.069|| | | |dir|7||||Desktop\|Shell\BagMRU\||10/17/2013 19:23:49.617; 10/17/2013 19:23:34.198; 09/23/2013 19:22:18.679
10/23/2013 03:09:17.069|| | | |dir|20||||Desktop\{CLSID_ComputersAndDevices}\|Shell\BagMRU\3||09/23/2013 19:22:18.335
10/21/2013 20:10:50.318|<-| | | |dir|242||||Desktop\{CLSID_ComputersAndDevices}\192.168.1.48\|Shell\BagMRU\3\3||10/21/2013 20:02:41.904
10/21/2013 20:10:56.449|| | | |dir|243||||Desktop\{CLSID_ComputersAndDevices}\192.168.1.48\Documents\|Shell\BagMRU\3\3\1|[1] \\192.168.1.48\Documents; [2] Microsoft Network|10/21/2013 20:02:44.953; 10/21/2013 20:02:44.937
10/21/2013 20:10:56.449|| | | |dir|241||||Desktop\{CLSID_ComputersAndDevices}\192.168.1.48\Public\|Shell\BagMRU\3\3\0|[1] \\192.168.1.48\Public; [2] Microsoft Network|10/21/2013 20:02:41.904; 10/21/2013 20:02:41.873
10/21/2013 20:10:56.449|<-| | | |dir|244||||Desktop\{CLSID_ComputersAndDevices}\192.168.1.48\Users\|Shell\BagMRU\3\3\2|[1] \\192.168.1.48\Users; [2] Microsoft Network|10/21/2013 20:02:50.528; 10/21/2013 20:02:50.497
10/21/2013 20:02:53.587|<-|10/21/2013 19:49:50|10/21/2013 19:49:50|10/20/2013 01:36:16|dir|245||373903|2|Desktop\{CLSID_ComputersAndDevices}\192.168.1.48\Users\dblak_000\|Shell\BagMRU\3\3\2\0||10/21/2013 20:02:53.744; 10/21/2013 20:02:53.587
10/21/2013 20:02:55.713|<-|10/21/2013 19:49:26|10/20/2013 01:40:28|10/20/2013 01:36:16|dir|246||373912|2|Desktop\{CLSID_ComputersAndDevices}\192.168.1.48\Users\dblak_000\Documents\|Shell\BagMRU\3\3\2\0\0|[1] @shell32.dll,-21770|10/21/2013 20:02:55.760; 10/21/2013 20:02:55.728
10/21/2013 20:12:08.045||10/21/2013 20:04:18|10/21/2013 20:04:18|10/21/2013 20:04:18|dir|247||39854|84|Desktop\{CLSID_ComputersAndDevices}\192.168.1.48\Users\dblak_000\Documents\Articles\|Shell\BagMRU\3\3\2\0\0\0||10/21/2013 20:04:31.905; 10/21/2013 20:04:28.686
10/21/2013 20:12:08.045||10/21/2013 20:04:18|10/21/2013 20:04:18|10/21/2013 20:04:18|dir|249||39825|17|Desktop\{CLSID_ComputersAndDevices}\192.168.1.48\Users\dblak_000\Documents\Documents\|Shell\BagMRU\3\3\2\0\0\1||10/21/2013 20:11:01.524; 10/21/2013 20:11:01.493
10/21/2013 20:12:08.045||10/21/2013 20:04:18|10/21/2013 20:04:18|10/21/2013 20:04:18|dir|250|4096|39831|16|Desktop\{CLSID_ComputersAndDevices}\192.168.1.48\Users\dblak_000\Documents\Lean startup\|Shell\BagMRU\3\3\2\0\0\2||10/21/2013 20:11:12.034; 10/21/2013 20:11:11.737
10/21/2013 20:12:08.045|<-|10/21/2013 20:04:18|10/21/2013 20:04:18|10/21/2013 20:04:18|dir|251|4096|39841|137|Desktop\{CLSID_ComputersAndDevices}\192.168.1.48\Users\dblak_000\Documents\Templates\|Shell\BagMRU\3\3\2\0\0\3||10/21/2013 20:14:49.363; 10/21/2013 20:12:08.045
10/21/2013 20:10:50.318|| | | |dir|21||||Desktop\{CLSID_ComputersAndDevices}\BIFROST\|Shell\BagMRU\3\0|[1] ID : Provider\Microsoft.Networking.WSD//urn:uuid:5b6de537-8036-4906-9cf1-ecfc4eabd13c|09/23/2013 19:22:18.351; 09/23/2013 19:22:18.335
10/21/2013 20:10:50.318|| | | |dir|127||||Desktop\{CLSID_ComputersAndDevices}\JOTUMHEIM\|Shell\BagMRU\3\2|[1] ID : Provider\Microsoft.Networking.Netbios//Microsoft Windows Network::\\ASGARD\\JOTUMHEIM|10/01/2013 20:15:29.541; 10/01/2013 20:15:29.540
10/01/2013 20:15:29.540|<-| | | |dir|126||||Desktop\{CLSID_ComputersAndDevices}\JOTUMHEIM\Users\|Shell\BagMRU\3\2\0|[1] \\JOTUMHEIM\Users; [2] Microsoft Network|10/01/2013 20:15:29.544; 10/01/2013 20:15:29.522
