usp - full ver: 0.34; Copyright (c) TZWorks LLC
	
	
"cmdline: usp64.exe -sys f:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\registry\system\SYSTEM -setupapi f:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\registry\windows\setupapi.dev.log -sw f:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\registry\system\SOFTWARE -pair_datetime -no_whitespace -all_usb_devices"

device name|vid/pid date [UTC]|install date [UTC]|disk dev date [UTC]|vol dev date [UTC]|type|vid|pid|hub|port|vendor|product|rev|volume guid|vol|vol name|users [ date/time - utc]|instance id/serial #|Other dates defined by explicit property keys|Readyboost (list of EMDMgmt entries) vol serial# / vol name / last modify regtimes [utc] and * = test time
HL-DT-ST DVDRAM GP08NU40 USB Device|09/23/2013 19:21:27.648| | |09/23/2013 19:14:29.309|cdrom|#152e|#2507|5|2|hl-dt-st|dvdram_gp08nu40|#1.00|5c7fcd3b-2303-11e3-be7f-24fd52566ede||||p01100109005530&0|[DEVPKEY Install: 09/23/2013 19:14:29.293 UTC]; [DEVPKEY LastArrival: 09/23/2013 19:21:27.648 UTC]; [DEVPKEY LastRemoval: 09/23/2013 19:47:15.334 UTC]|
Realtek RTL8723A Wireless LAN 802.11n USB 2.0 Network Adapter|09/23/2013 19:21:35.959| | | |RtlWlanu|#0bda|#1724||||||||||7&1308b7d4&1&0002|[DEVPKEY Install: 09/23/2013 19:14:45.157 UTC]; [DEVPKEY LastArrival: 10/23/2013 02:56:17.096 UTC]|
Multiple Card  Reader USB Device|10/13/2013 09:03:25.228|10/13/2013 05:03:25.431|10/13/2013 09:03:25.259|10/13/2013 09:03:25.290|disk|#058f|#6366|3|4|multiple|card__reader|#1.00|d373bc4d-32a0-11e3-be86-84c15d8d3bd3||||058f63666438&0|[DEVPKEY Install: 10/13/2013 09:03:25.243 UTC]; [DEVPKEY LastArrival: 10/13/2013 09:03:25.228 UTC]; [DEVPKEY LastRemoval: 10/13/2013 09:11:11.967 UTC]|921f-9c83/<no name> [10/13/2013 09:03:48.287]; d60b-729b/recovery [10/13/2013 09:03:25.525]
Apple iPad|10/17/2013 16:44:20.581|10/17/2013 12:44:13.249| | |WUDFWpdMtp|#05ac|#12a4|3|4||||||||c5a218ca97fb7bd4f1ac881aa801d594a6fefb9c|[DEVPKEY Install: 10/17/2013 16:44:24.101 UTC]; [DEVPKEY LastArrival: 10/17/2013 16:44:16.414 UTC]; [DEVPKEY LastRemoval: 10/17/2013 16:44:20.867 UTC]|
@oem74.inf,%iPhone.DeviceDesc%;Apple Mobile Device USB Driver|10/18/2013 02:09:11.756|10/17/2013 21:34:33.584| | |USBAAPL64|#05ac|#129a|3|4||||||||b15b3ded774bb82bbb8f3a592105338c6e0bd485|[DEVPKEY Install: 10/18/2013 02:09:11.780 UTC]; [DEVPKEY LastArrival: 10/18/2013 02:09:09.690 UTC]; [DEVPKEY LastRemoval: 10/18/2013 02:18:06.739 UTC]|
Flash Drive SM_USB20 USB Device|10/18/2013 18:32:25.565|10/17/2013 15:28:34.259|10/17/2013 19:28:33.543|10/17/2013 19:28:33.574|disk|#090c|#1000|4|2|flash|drive_sm_usb20|#1100|c2ea173d-3761-11e3-be88-24fd52566ede||||aa04012700013494&0|[DEVPKEY Install: 10/17/2013 19:28:33.439 UTC]; [DEVPKEY LastArrival: 10/18/2013 18:32:25.565 UTC]; [DEVPKEY LastRemoval: 10/18/2013 18:33:16.560 UTC]|440f-17ad/photos back [10/17/2013 19:28:34.164]
WD 1600BEV External USB Device|10/18/2013 18:33:44.825| |10/18/2013 18:32:18.794| |disk|#1058|#0702|3|4|wd|1600bev_external|#1.04|||||575848323038333634303334&0|[DEVPKEY Install: 10/18/2013 18:32:18.726 UTC]; [DEVPKEY LastArrival: 10/18/2013 18:33:44.826 UTC]; [DEVPKEY LastRemoval: 10/18/2013 18:40:28.230 UTC]|
MBIL SSM Moser Baer Disk USB Device|10/18/2013 18:43:56.274|10/18/2013 14:33:25.088|10/18/2013 18:33:24.993|10/18/2013 18:33:25.036|disk|#1ec9|#a081|3|4|mbil_ssm|moser_baer_disk|#8.07|8dfc9e1b-376f-11e3-be88-24fd52566ede||||mba34212080313074295&0|[DEVPKEY Install: 10/18/2013 18:33:24.471 UTC]; [DEVPKEY LastArrival: 10/18/2013 18:43:56.275 UTC]; [DEVPKEY LastRemoval: 10/18/2013 18:59:31.523 UTC]|dc99-0719/files [10/18/2013 18:33:26.073]
RM-860;Nokia Lumia 928|10/19/2013 19:40:14.755|10/19/2013 15:40:14.532| | |WINUSB|#0421|#0661||||||||||6&6d096df&0&0002|[DEVPKEY Install: 10/19/2013 19:40:14.802 UTC]; [DEVPKEY LastArrival: 10/21/2013 20:40:23.400 UTC]; [DEVPKEY LastRemoval: 10/21/2013 20:50:22.839 UTC]|
RM-860;Nokia Lumia 928|10/19/2013 19:40:14.943|10/19/2013 15:40:14.501| | |WINUSB|#0421|#0661||||||||||6&6d096df&0&0001|[DEVPKEY Install: 10/19/2013 19:40:14.989 UTC]; [DEVPKEY LastArrival: 10/21/2013 20:40:23.384 UTC]; [DEVPKEY LastRemoval: 10/21/2013 20:50:22.839 UTC]|
NOKIA BOOTMGR|10/21/2013 17:31:47.244| | | |WINUSB|#0421|#066e|3|4||||||||5&262ed807&0&4|[DEVPKEY Install: 10/21/2013 17:31:47.244 UTC]; [DEVPKEY LastArrival: 10/21/2013 17:31:47.170 UTC]; [DEVPKEY LastRemoval: 10/21/2013 17:31:54.104 UTC]|
USB Input Device|10/21/2013 17:31:54.344| | | |HidUsb|#045e|#062a|3|4||||||||5&262ed807&0&4|[DEVPKEY Install: 10/21/2013 17:31:54.332 UTC]; [DEVPKEY LastArrival: 10/21/2013 17:31:54.313 UTC]; [DEVPKEY LastRemoval: 10/21/2013 17:32:05.188 UTC]|
